,Dialogue_Id,Speaker,Emotion_name,Utterance,Annotate(0/1)
77,12,Chandler,neutral,"Hey, Mon.",0.0
78,12,Monica,neutral,Hey-hey-hey. You wanna hear something that sucks.,0.0
79,12,Chandler,joy,Do I ever.,0.0
80,12,Monica,sadness,Chris says they're closing down the bar.,1.0
81,12,Chandler,surprise,No way!,0.0
82,12,Monica,neutral,"Yeah, apparently they're turning it into some kinda coffee place.",1.0
83,12,Chandler,disgust,Just coffee! Where are we gonna hang out now?,1.0
84,12,Monica,sadness,Got me.,0.0
85,13,Chandler,neutral,"Hey, Mon.",0.0
86,13,Monica,neutral,Hey-hey-hey. You wanna hear something that sucks.,0.0
87,13,Chandler,joy,Do I ever.,0.0
88,13,Monica,sadness,Chris says they're closing down the bar.,0.0
89,13,Chandler,surprise,No way!,0.0
90,13,Monica,neutral,"Yeah, apparently they're turning it into some kinda coffee place.",0.0
91,13,Chandler,disgust,Just coffee! Where are we gonna hang out now?,0.0
92,13,Monica,sadness,Got me.,1.0
93,13,Chandler,neutral,Can I get a beer.,1.0
94,14,Chandler,neutral,"Hey, Mon.",0.0
95,14,Monica,neutral,Hey-hey-hey. You wanna hear something that sucks.,0.0
96,14,Chandler,joy,Do I ever.,0.0
97,14,Monica,sadness,Chris says they're closing down the bar.,0.0
98,14,Chandler,surprise,No way!,0.0
99,14,Monica,neutral,"Yeah, apparently they're turning it into some kinda coffee place.",0.0
100,14,Chandler,disgust,Just coffee! Where are we gonna hang out now?,0.0
101,14,Monica,sadness,Got me.,0.0
102,14,Chandler,neutral,Can I get a beer.,0.0
103,14,Monica,neutral,"Hey, did you pick a roommate?",1.0
104,15,Chandler,neutral,"Hey, Mon.",0.0
105,15,Monica,neutral,Hey-hey-hey. You wanna hear something that sucks.,0.0
106,15,Chandler,joy,Do I ever.,0.0
107,15,Monica,sadness,Chris says they're closing down the bar.,0.0
108,15,Chandler,surprise,No way!,0.0
109,15,Monica,neutral,"Yeah, apparently they're turning it into some kinda coffee place.",0.0
110,15,Chandler,disgust,Just coffee! Where are we gonna hang out now?,0.0
111,15,Monica,sadness,Got me.,0.0
112,15,Chandler,neutral,Can I get a beer.,0.0
113,15,Monica,neutral,"Hey, did you pick a roommate?",1.0
114,15,Chandler,joy,You betcha!,0.0
115,16,Phoebe,surprise,"Oh my God, oh my God! Poor Monica!",0.0
116,16,Chandler,surprise,"What, what, what?!",0.0
117,16,Phoebe,surprise,What?!,1.0
118,16,Phoebe,neutral,He was with her when he wrote this poem.,0.0
119,17,Phoebe,surprise,"Oh my God, oh my God! Poor Monica!",0.0
120,17,Chandler,surprise,"What, what, what?!",0.0
121,17,Phoebe,surprise,What?!,0.0
122,17,Phoebe,neutral,He was with her when he wrote this poem.,0.0
123,17,Phoebe,neutral,"Look,  'My vessel so empty with nothing inside.",1.0
124,17,Phoebe,neutral,"Now that I've touched you, you seem emptier still.'",1.0
125,17,Phoebe,surprise,"He thinks Monica is empty, she is the empty vase!",0.0
126,18,Phoebe,surprise,"Oh my God, oh my God! Poor Monica!",0.0
127,18,Chandler,surprise,"What, what, what?!",0.0
128,18,Phoebe,surprise,What?!,0.0
129,18,Phoebe,neutral,He was with her when he wrote this poem.,0.0
130,18,Phoebe,neutral,"Look,  'My vessel so empty with nothing inside.",1.0
131,18,Phoebe,neutral,"Now that I've touched you, you seem emptier still.'",1.0
132,18,Phoebe,surprise,"He thinks Monica is empty, she is the empty vase!",1.0
133,18,Phoebe,sadness,"Oh, totally. Oh, God, oh, she seemed so happy too.",0.0
134,19,Rachel,surprise,Hey!,0.0
135,19,Ross,joy,Hi!,0.0
136,19,Rachel,surprise,What are you doing here?,1.0
137,19,Ross,neutral,"Ah y'know, this building is on my paper route so I...",0.0
138,20,Rachel,surprise,Hey!,0.0
139,20,Ross,joy,Hi!,0.0
140,20,Rachel,surprise,What are you doing here?,0.0
141,20,Ross,neutral,"Ah y'know, this building is on my paper route so I...",1.0
142,20,Rachel,neutral,Oh.,0.0
143,21,Rachel,surprise,Hey!,0.0
144,21,Ross,joy,Hi!,0.0
145,21,Rachel,surprise,What are you doing here?,0.0
146,21,Ross,neutral,"Ah y'know, this building is on my paper route so I...",0.0
147,21,Rachel,neutral,Oh.,0.0
148,21,Ross,neutral,Hi.,0.0
149,21,Rachel,neutral,Hi.,0.0
150,21,Ross,neutral,How'd did it go?,1.0
151,21,Rachel,joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",1.0
152,22,Rachel,surprise,Hey!,0.0
153,22,Ross,joy,Hi!,0.0
154,22,Rachel,surprise,What are you doing here?,0.0
155,22,Ross,neutral,"Ah y'know, this building is on my paper route so I...",0.0
156,22,Rachel,neutral,Oh.,0.0
157,22,Ross,neutral,Hi.,0.0
158,22,Rachel,neutral,Hi.,0.0
159,22,Ross,neutral,How'd did it go?,0.0
160,22,Rachel,joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",1.0
161,22,Ross,joy,I'm so proud of you.,0.0
162,23,Rachel,surprise,Hey!,0.0
163,23,Ross,joy,Hi!,0.0
164,23,Rachel,surprise,What are you doing here?,0.0
165,23,Ross,neutral,"Ah y'know, this building is on my paper route so I...",0.0
166,23,Rachel,neutral,Oh.,0.0
167,23,Ross,neutral,Hi.,0.0
168,23,Rachel,neutral,Hi.,0.0
169,23,Ross,neutral,How'd did it go?,0.0
170,23,Rachel,joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",0.0
171,23,Ross,joy,I'm so proud of you.,0.0
172,23,Rachel,joy,Me too!,0.0
173,23,Ross,sadness,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",1.0
174,24,Rachel,surprise,Hey!,0.0
175,24,Ross,joy,Hi!,0.0
176,24,Rachel,surprise,What are you doing here?,0.0
177,24,Ross,neutral,"Ah y'know, this building is on my paper route so I...",0.0
178,24,Rachel,neutral,Oh.,0.0
179,24,Ross,neutral,Hi.,0.0
180,24,Rachel,neutral,Hi.,0.0
181,24,Ross,neutral,How'd did it go?,0.0
182,24,Rachel,joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",0.0
183,24,Ross,joy,I'm so proud of you.,0.0
184,24,Rachel,joy,Me too!,0.0
185,24,Ross,sadness,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",1.0
186,24,Rachel,neutral,I know.,0.0
187,25,Rachel,surprise,Hey!,0.0
188,25,Ross,joy,Hi!,0.0
189,25,Rachel,surprise,What are you doing here?,0.0
190,25,Ross,neutral,"Ah y'know, this building is on my paper route so I...",0.0
191,25,Rachel,neutral,Oh.,0.0
192,25,Ross,neutral,Hi.,0.0
193,25,Rachel,neutral,Hi.,0.0
194,25,Ross,neutral,How'd did it go?,0.0
195,25,Rachel,joy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn't shut up.",0.0
196,25,Ross,joy,I'm so proud of you.,0.0
197,25,Rachel,joy,Me too!,0.0
198,25,Ross,sadness,"Listen, I'm ah, I'm sorry I've been so crazy and jealous and, it's just that I like you a lot, so...",0.0
199,25,Rachel,neutral,I know.,1.0
200,25,Ross,neutral,Yeah.,0.0
201,26,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
202,26,Joey,surprise,You liked it? You really liked it?,0.0
203,26,Chandler,joy,"Oh-ho-ho, yeah!",1.0
204,26,Joey,neutral,Which part exactly?,1.0
205,27,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
206,27,Joey,surprise,You liked it? You really liked it?,0.0
207,27,Chandler,joy,"Oh-ho-ho, yeah!",0.0
208,27,Joey,neutral,Which part exactly?,1.0
209,27,Chandler,neutral,The whole thing! Can we go?,0.0
210,28,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
211,28,Joey,surprise,You liked it? You really liked it?,0.0
212,28,Chandler,joy,"Oh-ho-ho, yeah!",0.0
213,28,Joey,neutral,Which part exactly?,0.0
214,28,Chandler,neutral,The whole thing! Can we go?,1.0
215,28,Joey,anger,"Oh no-no-no, give me some specifics.",0.0
216,29,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
217,29,Joey,surprise,You liked it? You really liked it?,0.0
218,29,Chandler,joy,"Oh-ho-ho, yeah!",0.0
219,29,Joey,neutral,Which part exactly?,0.0
220,29,Chandler,neutral,The whole thing! Can we go?,0.0
221,29,Joey,anger,"Oh no-no-no, give me some specifics.",1.0
222,29,Chandler,joy,"I love the specifics, the specifics were the best part!",1.0
223,30,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
224,30,Joey,surprise,You liked it? You really liked it?,0.0
225,30,Chandler,joy,"Oh-ho-ho, yeah!",0.0
226,30,Joey,neutral,Which part exactly?,0.0
227,30,Chandler,neutral,The whole thing! Can we go?,0.0
228,30,Joey,anger,"Oh no-no-no, give me some specifics.",0.0
229,30,Chandler,joy,"I love the specifics, the specifics were the best part!",1.0
230,30,Joey,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",1.0
231,31,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
232,31,Joey,surprise,You liked it? You really liked it?,0.0
233,31,Chandler,joy,"Oh-ho-ho, yeah!",0.0
234,31,Joey,neutral,Which part exactly?,0.0
235,31,Chandler,neutral,The whole thing! Can we go?,0.0
236,31,Joey,anger,"Oh no-no-no, give me some specifics.",0.0
237,31,Chandler,joy,"I love the specifics, the specifics were the best part!",0.0
238,31,Joey,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",1.0
239,31,Chandler,surprise,I was surprised to see a kangaroo in a World War I epic.,0.0
240,32,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
241,32,Joey,surprise,You liked it? You really liked it?,0.0
242,32,Chandler,joy,"Oh-ho-ho, yeah!",0.0
243,32,Joey,neutral,Which part exactly?,0.0
244,32,Chandler,neutral,The whole thing! Can we go?,0.0
245,32,Joey,anger,"Oh no-no-no, give me some specifics.",0.0
246,32,Chandler,joy,"I love the specifics, the specifics were the best part!",0.0
247,32,Joey,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",0.0
248,32,Chandler,surprise,I was surprised to see a kangaroo in a World War I epic.,1.0
249,32,Joey,anger,You fell asleep!!,0.0
250,33,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
251,33,Joey,surprise,You liked it? You really liked it?,0.0
252,33,Chandler,joy,"Oh-ho-ho, yeah!",0.0
253,33,Joey,neutral,Which part exactly?,0.0
254,33,Chandler,neutral,The whole thing! Can we go?,0.0
255,33,Joey,anger,"Oh no-no-no, give me some specifics.",0.0
256,33,Chandler,joy,"I love the specifics, the specifics were the best part!",0.0
257,33,Joey,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",0.0
258,33,Chandler,surprise,I was surprised to see a kangaroo in a World War I epic.,0.0
259,33,Joey,anger,You fell asleep!!,0.0
260,33,Joey,anger,There was no kangaroo!,0.0
261,33,Joey,anger,They didn't take any of my suggestions!,1.0
262,33,Joey,neutral,That's for coming buddy.,1.0
263,34,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
264,34,Joey,surprise,You liked it? You really liked it?,0.0
265,34,Chandler,joy,"Oh-ho-ho, yeah!",0.0
266,34,Joey,neutral,Which part exactly?,0.0
267,34,Chandler,neutral,The whole thing! Can we go?,0.0
268,34,Joey,anger,"Oh no-no-no, give me some specifics.",0.0
269,34,Chandler,joy,"I love the specifics, the specifics were the best part!",0.0
270,34,Joey,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",0.0
271,34,Chandler,surprise,I was surprised to see a kangaroo in a World War I epic.,0.0
272,34,Joey,anger,You fell asleep!!,1.0
273,34,Joey,anger,There was no kangaroo!,1.0
274,34,Joey,anger,They didn't take any of my suggestions!,1.0
275,34,Joey,neutral,That's for coming buddy.,0.0
276,34,Joey,neutral,I'll see you later.,1.0
277,34,Chandler,sadness,Don't go!,0.0
278,35,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
279,35,Joey,surprise,You liked it? You really liked it?,0.0
280,35,Chandler,joy,"Oh-ho-ho, yeah!",0.0
281,35,Joey,neutral,Which part exactly?,0.0
282,35,Chandler,neutral,The whole thing! Can we go?,0.0
283,35,Joey,anger,"Oh no-no-no, give me some specifics.",0.0
284,35,Chandler,joy,"I love the specifics, the specifics were the best part!",0.0
285,35,Joey,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",0.0
286,35,Chandler,surprise,I was surprised to see a kangaroo in a World War I epic.,0.0
287,35,Joey,anger,You fell asleep!!,0.0
288,35,Joey,anger,There was no kangaroo!,0.0
289,35,Joey,anger,They didn't take any of my suggestions!,0.0
290,35,Joey,neutral,That's for coming buddy.,0.0
291,35,Joey,neutral,I'll see you later.,0.0
292,35,Chandler,sadness,Don't go!,0.0
293,35,Chandler,sadness,I'm sorry.,0.0
294,35,Chandler,sadness,I'm so sorry!,0.0
295,35,Chandler,surprise,Look!,1.0
296,36,Chandler,joy,Good job Joe! Well done! Top notch!,0.0
297,36,Joey,surprise,You liked it? You really liked it?,0.0
298,36,Chandler,joy,"Oh-ho-ho, yeah!",0.0
299,36,Joey,neutral,Which part exactly?,0.0
300,36,Chandler,neutral,The whole thing! Can we go?,0.0
301,36,Joey,anger,"Oh no-no-no, give me some specifics.",0.0
302,36,Chandler,joy,"I love the specifics, the specifics were the best part!",0.0
303,36,Joey,neutral,"Hey, what about the scene with the kangaroo? Did-did you like that part?",0.0
304,36,Chandler,surprise,I was surprised to see a kangaroo in a World War I epic.,0.0
305,36,Joey,anger,You fell asleep!!,0.0
306,36,Joey,anger,There was no kangaroo!,0.0
307,36,Joey,anger,They didn't take any of my suggestions!,0.0
308,36,Joey,neutral,That's for coming buddy.,0.0
309,36,Joey,neutral,I'll see you later.,0.0
310,36,Chandler,sadness,Don't go!,0.0
311,36,Chandler,sadness,I'm sorry.,0.0
312,36,Chandler,sadness,I'm so sorry!,0.0
313,36,Chandler,surprise,Look!,0.0
314,36,Chandler,anger,This guy fell asleep!,1.0
315,37,Phoebe,neutral,"Yes, and it is my dying wish to have that ring.",0.0
316,37,Phoebe,neutral,"See, if I'm not buried with that ring then my spirit is going to wander the nether world for all eternity",0.0
317,37,Chandler,neutral,"Okay, that's enough honey!",0.0
318,37,Customer,neutral,I don't know.  Let me see the ring.,1.0
319,37,Chandler,joy,"Great! Okay, here.",0.0
320,38,Chandler,neutral,What've you been up to?,0.0
321,38,Jade,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much.",1.0
322,38,Jade,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",1.0
323,38,Chandler,joy,Can you hold on a moment? I have another call.  I love her.,0.0
324,39,Chandler,neutral,What've you been up to?,0.0
325,39,Jade,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much.",0.0
326,39,Jade,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",0.0
327,39,Chandler,joy,Can you hold on a moment? I have another call.  I love her.,0.0
328,39,Ross,neutral,I know.,1.0
329,39,Chandler,neutral,I'm back.,0.0
330,40,Chandler,neutral,What've you been up to?,0.0
331,40,Jade,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much.",0.0
332,40,Jade,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",0.0
333,40,Chandler,joy,Can you hold on a moment? I have another call.  I love her.,0.0
334,40,Ross,neutral,I know.,0.0
335,40,Chandler,neutral,I'm back.,0.0
336,40,Jade,neutral,"So, are we gonna get together or what?",0.0
337,40,Chandler,neutral,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",0.0
338,40,Jade,neutral,"Great, I'll see you then.",1.0
339,40,Chandler,joy,Ok.  Ok. Having a phone has finally paid off.,0.0
340,41,Chandler,neutral,What've you been up to?,0.0
341,41,Jade,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much.",0.0
342,41,Jade,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",0.0
343,41,Chandler,joy,Can you hold on a moment? I have another call.  I love her.,0.0
344,41,Ross,neutral,I know.,0.0
345,41,Chandler,neutral,I'm back.,0.0
346,41,Jade,neutral,"So, are we gonna get together or what?",0.0
347,41,Chandler,neutral,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",0.0
348,41,Jade,neutral,"Great, I'll see you then.",0.0
349,41,Chandler,joy,Ok.  Ok. Having a phone has finally paid off.,0.0
350,41,Ross,neutral,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",1.0
351,41,Chandler,neutral,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",0.0
352,42,Chandler,neutral,What've you been up to?,0.0
353,42,Jade,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much.",0.0
354,42,Jade,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",0.0
355,42,Chandler,joy,Can you hold on a moment? I have another call.  I love her.,0.0
356,42,Ross,neutral,I know.,0.0
357,42,Chandler,neutral,I'm back.,0.0
358,42,Jade,neutral,"So, are we gonna get together or what?",0.0
359,42,Chandler,neutral,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",0.0
360,42,Jade,neutral,"Great, I'll see you then.",0.0
361,42,Chandler,joy,Ok.  Ok. Having a phone has finally paid off.,0.0
362,42,Ross,neutral,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",0.0
363,42,Chandler,neutral,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",1.0
364,42,Ross,disgust,Oh my god. You are pure evil.,0.0
365,43,Chandler,neutral,What've you been up to?,0.0
366,43,Jade,neutral,"Oh, you know, the usual, teaching aerobics, partying way too much.",0.0
367,43,Jade,neutral,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",0.0
368,43,Chandler,joy,Can you hold on a moment? I have another call.  I love her.,0.0
369,43,Ross,neutral,I know.,0.0
370,43,Chandler,neutral,I'm back.,0.0
371,43,Jade,neutral,"So, are we gonna get together or what?",0.0
372,43,Chandler,neutral,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",0.0
373,43,Jade,neutral,"Great, I'll see you then.",0.0
374,43,Chandler,joy,Ok.  Ok. Having a phone has finally paid off.,0.0
375,43,Ross,neutral,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",0.0
376,43,Chandler,neutral,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",0.0
377,43,Ross,disgust,Oh my god. You are pure evil.,1.0
378,43,Chandler,anger,"Ok, pure evil , horny and alone . I've done this",0.0
379,44,Ross,neutral,This is my wedding.,0.0
380,44,Monica,anger,"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!",0.0
381,44,Ross,neutral,Fine. You'll-you'll watch it on video when we get back.,0.0
382,44,Chandler,joy,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,0.0
383,44,Phoebe,neutral,Thank you.,0.0
384,44,Phoebe,neutral,Thank you.,0.0
385,44,Ross,joy,"All right, let's go! Bye, Pheebs!",1.0
386,45,Ross,neutral,This is my wedding.,0.0
387,45,Monica,anger,"All right, y'know what? We really are late! Let's go! Let's go! Let's go!!",0.0
388,45,Ross,neutral,Fine. You'll-you'll watch it on video when we get back.,0.0
389,45,Chandler,joy,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,0.0
390,45,Phoebe,neutral,Thank you.,0.0
391,45,Phoebe,neutral,Thank you.,0.0
392,45,Ross,joy,"All right, let's go! Bye, Pheebs!",0.0
393,45,Joey,joy,"Bye, Pheebs!",0.0
394,45,Joey,joy,London baby!!,1.0
395,45,Phoebe,joy,"Oh, do you need a hug? You don't have to bring me anything!",0.0
396,46,Chandler,neutral,Hey!,0.0
397,46,Joey,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,1.0
398,46,Chandler,disgust,"That's great, but shouldn't you be on the toilet right now?",0.0
399,47,Chandler,neutral,Hey!,0.0
400,47,Joey,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,0.0
401,47,Chandler,disgust,"That's great, but shouldn't you be on the toilet right now?",1.0
402,47,Joey,surprise,What?!,0.0
403,48,Chandler,neutral,Hey!,0.0
404,48,Joey,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,0.0
405,48,Chandler,disgust,"That's great, but shouldn't you be on the toilet right now?",0.0
406,48,Joey,surprise,What?!,0.0
407,48,Chandler,disgust,What's wrong with you?,1.0
408,48,Joey,neutral,Nothing!,0.0
409,49,Chandler,neutral,Hey!,0.0
410,49,Joey,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,0.0
411,49,Chandler,disgust,"That's great, but shouldn't you be on the toilet right now?",0.0
412,49,Joey,surprise,What?!,0.0
413,49,Chandler,disgust,What's wrong with you?,0.0
414,49,Joey,neutral,Nothing!,0.0
415,49,Joey,fear,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.",1.0
416,50,Chandler,neutral,Hey!,0.0
417,50,Joey,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,0.0
418,50,Chandler,disgust,"That's great, but shouldn't you be on the toilet right now?",0.0
419,50,Joey,surprise,What?!,0.0
420,50,Chandler,disgust,What's wrong with you?,0.0
421,50,Joey,neutral,Nothing!,1.0
422,50,Joey,fear,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.",1.0
423,50,Joey,neutral,"But um, I don't think it's anything serious.",1.0
424,51,Chandler,neutral,Hey!,0.0
425,51,Joey,joy,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I'll have my health insurance back in no time.,0.0
426,51,Chandler,disgust,"That's great, but shouldn't you be on the toilet right now?",0.0
427,51,Joey,surprise,What?!,0.0
428,51,Chandler,disgust,What's wrong with you?,0.0
429,51,Joey,neutral,Nothing!,0.0
430,51,Joey,fear,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven't been able to stand up since.",1.0
431,51,Joey,neutral,"But um, I don't think it's anything serious.",0.0
